Point1,Point2,ActualCost
C,B,1.4132797
A,C,4.162262200000001
B,C,27.4125175
B,A,27.525459700000003
C,A,1.3555303
A,B,3.182717
C,B,1.4030811
A,C,4.9119792
B,C,27.8897646
B,A,28.5594544
C,A,1.6241511999999998
A,B,3.2473558
C,B,1.419681
A,C,7.791336200000001
B,C,30.5239583
B,A,28.1365147
C,A,1.3436415000000002
A,B,2.8779499
C,B,1.4079205
A,C,6.0426875
B,C,27.937780600000004
B,A,27.370684100000002
C,A,1.4075145
A,B,3.7749936
C,B,1.3501814
A,C,6.2001447
B,C,27.505401199999998
B,A,27.241429399999998
C,A,1.4017045
A,B,3.3510748999999995
C,B,1.3982393999999998
A,C,4.463987599999999
B,C,27.9801995
B,A,27.6041091
C,A,1.3528559
A,B,3.460592
C,B,1.4066427
A,C,5.8448229000000005
B,C,27.9456615
B,A,27.3646825
C,A,1.3945415
A,B,3.8100812000000004
C,B,1.3637182
A,C,8.564001199999998
B,C,27.4538249
B,A,27.1541315
C,A,1.4049966999999999
A,B,3.9724782999999997
C,B,1.3266446
A,C,9.1898621
B,C,29.4062024
B,A,27.678109399999997
C,A,1.3988608999999999
A,B,3.3685945
C,B,1.4227291000000002
A,C,7.6476855
B,C,27.2687221
B,A,26.9956489
C,A,1.3559723999999997
A,B,4.0645026
C,B,1.3438588
A,C,6.1055134
B,C,27.5340424
B,A,27.105120399999997
C,A,1.4054262
A,B,4.1190119
C,B,1.4112768999999998
A,C,6.0745242
B,C,27.7264407
B,A,27.861505
C,A,1.4003607
A,B,4.2861804
C,B,1.4005208
A,C,6.927877799999999
B,C,29.0419244
B,A,27.090798699999997
C,A,1.4156916000000002
A,B,4.692635299999999
C,B,1.3575051
A,C,11.6626434
B,C,27.338825399999994
B,A,27.4990225
C,A,1.3443703000000002
A,B,3.5744958
C,B,1.3618358
A,C,7.3165163
B,C,27.4205723
B,A,27.1139125
C,A,1.4174544
A,B,3.6805254
C,B,1.4136585
A,C,8.067658
B,C,27.846599800000003
B,A,27.4124274
C,A,1.347017
A,B,3.2686884
C,B,1.4149893
A,C,8.838522
B,C,27.4776477
B,A,27.620789399999996
C,A,1.3440076
A,B,3.4222481
C,B,1.4053664
A,C,11.6255825
B,C,28.453468
B,A,27.0482235
C,A,1.3595803999999998
A,B,3.6806315
C,B,1.4230566
A,C,7.0602436
B,C,27.5128208
B,A,27.007561300000003
C,A,1.4145177
A,B,3.6106639
C,B,1.4006895000000001
A,C,7.3189782
B,C,27.482562199999997
B,A,27.1898826
C,A,1.358013
A,B,3.9800682000000003
C,B,1.3619443000000002
A,C,10.8331168
B,C,27.4686664
B,A,26.972975899999994
C,A,1.4422506000000002
A,B,2.9098621
C,B,1.6801893
A,C,6.9050964
B,C,27.53837
B,A,26.8619554
C,A,1.4068611
A,B,3.3528043
C,B,1.3437671999999998
A,C,7.384077499999999
B,C,27.3517107
B,A,27.1444945
C,A,1.3562518999999997
A,B,3.2299562
C,B,1.3452088
A,C,8.4192363
B,C,28.053059899999997
B,A,27.5241154
C,A,1.4027616000000003
A,B,3.1870563
C,B,1.4051231
A,C,7.799943700000001
B,C,27.9023551
B,A,27.5799168
C,A,1.4182103000000001
A,B,3.4338771
C,B,1.3992525
A,C,4.6877012
B,C,28.2560283
B,A,27.411528399999998
C,A,1.3364563
A,B,3.9295484
C,B,1.4058501
A,C,5.3241323
B,C,27.603566600000004
B,A,28.385966600000003
C,A,1.3464466999999998
A,B,3.2449202
C,B,1.3324009
A,C,4.0177693
B,C,27.444098699999998
B,A,27.387861600000004
C,A,1.3994389999999999
A,B,4.0000313
C,B,1.3432754
A,C,5.8324553
B,C,26.965854999999998
B,A,28.4819767
C,A,1.4183375
A,B,3.6159962
C,B,1.3494196000000003
A,C,6.1593061
B,C,28.0683189
B,A,27.1502346
C,A,1.4121986999999998
A,B,3.9179981
C,B,1.39064
A,C,5.6391886
B,C,27.7906104
B,A,28.635487199999996
C,A,1.4238013999999999
A,B,3.2904869
C,B,1.3483582
A,C,5.3103545
B,C,28.5375033
B,A,27.1385214
C,A,1.3446344
A,B,3.9318382000000005
C,B,1.3449599
A,C,5.7874922
B,C,27.298004
B,A,27.1799423
C,A,1.3475355
A,B,4.1598676
C,B,1.4215754999999999
A,C,5.333196599999999
B,C,27.921783
B,A,26.976815999999996
C,A,1.3586999
A,B,3.4748318999999994
C,B,1.4091784
A,C,8.9112607
B,C,28.244016
B,A,27.1571
C,A,1.346868
A,B,3.161374
C,B,1.4037927
A,C,6.7548025
B,C,28.149751300000002
B,A,27.484981599999998
C,A,1.6590501
A,B,2.9336344
C,B,1.3448637
A,C,5.257414700000001
B,C,27.2914765
B,A,27.0044115
C,A,1.4107495
A,B,3.2054037999999996
C,B,1.3886023
A,C,6.0839168
B,C,28.0836171
B,A,27.4705671
C,A,1.34218
A,B,4.650975099999999
C,B,1.4188021
A,C,6.200800599999999
B,C,27.3340512
B,A,27.379842
C,A,1.3492089
A,B,3.9928953999999997
C,B,1.4023723999999997
A,C,6.539177400000001
B,C,27.4995792
B,A,28.191531400000002
C,A,1.3418164
A,B,2.8100557
C,B,1.4077913999999998
A,C,6.114666099999999
B,C,28.238874499999998
B,A,27.863483799999997
C,A,1.3429947
A,B,3.8278044
C,B,1.4293778
A,C,5.24902
B,C,27.2724041
B,A,27.4457706
C,A,1.4057144
A,B,3.748259
C,B,1.4015061000000002
A,C,7.0728944
B,C,27.1571417
B,A,28.3183461
C,A,1.4047705
A,B,2.9348525000000003
C,B,1.4002636999999998
A,C,7.9117375
B,C,28.6182945
B,A,27.597369699999998
C,A,1.3494283
A,B,3.1916747
C,B,1.3510278
A,C,5.7251968
B,C,28.1220411
B,A,27.9125498
C,A,1.4724088
A,B,3.7750625
C,B,1.3559943
A,C,4.0785525
B,C,27.6149269
B,A,27.5749026
C,A,1.4796655
A,B,3.0609336
C,B,1.4069043
A,C,6.6978913
B,C,26.8893365
B,A,26.817529600000004
C,A,1.4085302
A,B,3.5564537000000005
C,B,1.4004329
A,C,5.8251023
B,C,27.3498396
B,A,26.7840697
C,A,1.4137232
A,B,4.2462495
C,B,1.4028869
A,C,8.079508800000001
B,C,26.8773109
B,A,27.045278399999997
C,A,1.4073421999999998
A,B,3.1662147
C,B,1.3446936
A,C,8.693060899999999
B,C,27.5419342
B,A,27.4050232
C,A,1.4145063
A,B,4.0552238
C,B,1.3490832
A,C,7.156131200000001
B,C,28.4643742
B,A,27.6980975
C,A,1.3390995
A,B,3.9325421
C,B,1.4229268
A,C,6.6204066
B,C,27.5096891
B,A,27.161683
C,A,1.3604828000000002
A,B,4.0124943
C,B,1.355884
A,C,4.979725900000001
B,C,28.541625
B,A,27.4880534
C,A,1.3925186999999999
A,B,3.2293576
C,B,1.3964964
A,C,9.2072108
B,C,26.8885798
B,A,27.714804200000003
C,A,1.4130674
A,B,4.0027330999999995
C,B,1.3404056999999998
A,C,5.4184279
B,C,27.2208494
B,A,26.9187892
C,A,1.3926983
A,B,3.5045977
C,B,1.3394104
A,C,5.2795356
B,C,28.365232799999998
B,A,27.026945
C,A,1.4119839
A,B,4.0571574
C,B,1.3401795
A,C,6.7022152
B,C,28.3278691
B,A,26.921158
C,A,1.4271321000000001
A,B,3.0344398
C,B,1.412719
A,C,7.5627159
B,C,27.4001407
B,A,27.068150699999997
C,A,1.4193666999999999
A,B,3.4362559
C,B,1.3398067
A,C,11.1292805
B,C,28.6565826
B,A,27.101381300000003
C,A,1.3427083999999998
A,B,4.6241835
C,B,1.401274
A,C,4.7922371
B,C,28.0584193
B,A,26.980223100000003
C,A,1.353899
A,B,2.9734971000000003
C,B,1.3484623
A,C,11.0226174
B,C,26.959897499999997
B,A,27.1683985
C,A,1.3539136
A,B,4.252248000000001
C,B,1.3404316
A,C,10.8323977
B,C,27.595983899999997
B,A,27.123719199999996
C,A,1.3581536
A,B,3.3595317000000002
C,B,1.3363971
A,C,11.0349389
B,C,27.526723999999998
B,A,27.387698699999998
C,A,1.4013806999999998
A,B,4.051199
C,B,1.3984504
A,C,6.991846300000001
B,C,27.5313235
B,A,27.3233751
C,A,1.4739926
A,B,3.1713229
C,B,1.3910076
A,C,5.2145789
B,C,27.751336
B,A,27.9964976
C,A,1.4779309
A,B,3.1213259
C,B,1.4601371
A,C,4.6406777
B,C,28.029095299999998
B,A,27.1405679
C,A,1.3407997
A,B,3.2909233999999996
C,B,1.402423
A,C,5.8684504
B,C,27.923233399999997
B,A,27.6045067
C,A,1.4039046
A,B,4.2976791
C,B,1.4057855
A,C,5.6543057999999995
B,C,27.2884309
B,A,28.039751399999997
C,A,1.41298
A,B,3.013886
C,B,1.396196
A,C,5.5906135
B,C,28.576958299999998
B,A,28.8151768
C,A,1.3411953
A,B,3.1220474
C,B,1.3459176000000002
A,C,5.6775304
B,C,27.360939799999997
B,A,27.364425399999995
C,A,1.4243786
A,B,3.4435833
C,B,1.3581865
A,C,5.0655199
B,C,29.302699100000005
B,A,28.729858899999996
C,A,1.4114574
A,B,3.4582830999999996
C,B,1.424937
A,C,4.4834595
B,C,27.92806
B,A,27.2863498
C,A,1.3506728
A,B,3.8045126000000002
C,B,1.3546242
A,C,4.7219207
B,C,26.8741858
B,A,28.3921968
C,A,1.3542315
A,B,3.8047753
C,B,1.4008568
A,C,7.2409813
B,C,28.4873385
B,A,27.4539098
C,A,1.4209857
A,B,3.1034902
C,B,1.4064299
A,C,10.512592
B,C,28.082676899999996
B,A,28.151428999999997
C,A,1.3494269
A,B,3.2857387000000005
C,B,1.3495291999999999
A,C,6.7085296
B,C,28.0607559
B,A,27.5334879
C,A,1.3939513
A,B,4.0294077
C,B,1.3441223
A,C,11.229628300000002
B,C,27.4270817
B,A,28.5202127
C,A,1.3456828
A,B,4.0422745
C,B,1.3981928999999997
A,C,5.4252539
B,C,27.1147866
B,A,27.974045699999998
C,A,1.3443208999999998
A,B,3.919299
C,B,1.3682827
A,C,11.8317186
B,C,30.3037375
B,A,28.694283000000002
C,A,1.4061354
A,B,3.5403797999999997
C,B,1.4149117
A,C,6.0623651
B,C,27.2661762
B,A,28.1469548
C,A,1.4258236
A,B,3.0120489
C,B,1.4053308
A,C,5.4223939
B,C,27.5346709
B,A,27.1034483
C,A,1.3372125
A,B,4.5556887
C,B,1.3924364
